id;title;release_date;cast;line_of_action;trailer;img;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;The Witcher;20/12/19;Henry Cavill, Freya Allan, Anya Chalotra ;Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.;https://www.youtube.com/watch?v=ndl1W4ltcmg;tw.jpg;Allan,;Anya;Chalotra;;Geralt;of;Rivia,;a;solitary;monster;hunter,;struggles;to;find;his;place;in;a;world;where;people;often;prove;more;wicked;than;beasts.;https://www.youtube.com/watch?v=ndl1W4ltcmg;tw.jpg;;;;;
2;Rick and Morty;02/12/13;Justin Roiland, Chris Parnell, Spencer Grammer ;An animated series that follows the exploits of a super scientist and his not-so-bright grandson.;https://www.youtube.com/watch?v=Rw6BrzB1drs;rm.jpg;Chris;Parnell,;Spencer;Grammer;;An;animated;series;that;follows;the;exploits;of;a;super;scientist;and;his;not-so-bright;grandson.;https://www.youtube.com/watch?v=Rw6BrzB1drs;rm.jpg;;;;;;;;;;;;
3;ZOO;30/06/15;James Wolk, Kristen Connolly, Nonso Anozie ;A young scientist searches to find out what's causing a rash of violent animal attacks.;https://www.youtube.com/watch?v=Q-sIi0fw8nM;zoo.jpg;Nonso;Anozie;;A;young;scientist;searches;to;find;out;what's;causing;a;rash;of;violent;animal;attacks.;https://www.youtube.com/watch?v=Q-sIi0fw8nM;zoo.jpg;;;;;;;;;;;;;;
4;Supernatural;13/09/05;Jared Padalecki, Jensen Ackles, Jim Beaver;Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.;https://www.youtube.com/watch?v=t-775JyzDTk;sn.jpg;Jim;Beaver;Two;brothers;follow;their;father's;footsteps;as;hunters,;fighting;evil;supernatural;beings;of;many;kinds,;including;monsters,;demons,;and;gods;that;roam;the;earth.;https://www.youtube.com/watch?v=t-775JyzDTk;sn.jpg;;;;;;
5;Stranger Things;15/07/16;Millie Bobby Brown, Finn Wolfhard, Winona Ryder;When a young boy disappears, his mother, a police chief, and his friends must confront terrifying supernatural forces in order to get him back.;https://www.youtube.com/watch?v=mnd7sFt5c3A;st.jpg;Finn;Wolfhard,;Winona;Ryder;When;a;young;boy;disappears,;his;mother,;a;police;chief,;and;his;friends;must;confront;terrifying;supernatural;forces;in;order;to;get;him;back.;https://www.youtube.com/watch?v=mnd7sFt5c3A;st.jpg;;;;
6;Chilling Adventures of Sabrina;26/10/18;Kiernan Shipka, Ross Lynch, Lucy Davis;As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.;https://www.youtube.com/watch?v=ybKUX6thF8Q;cas.jpg;Shipka,;Ross;Lynch,;Lucy;Davis;As;her;16th;birthday;nears,;Sabrina;must;choose;between;the;witch;world;of;her;family;and;the;human;world;of;her;friends.;Based;on;the;Archie;comic.;https://www.youtube.com/watch?v=ybKUX6thF8Q;cas.jpg
7;Sex Education;11/01/19;Asa Butterfield, Gillian Anderson, Ncuti Gatwa ;A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.;https://www.youtube.com/watch?v=7AvRuvPaumw;se.jpg;Anderson,;Ncuti;Gatwa;;A;teenage;boy;with;a;sex;therapist;mother;teams;up;with;a;high;school;classmate;to;set;up;an;underground;sex;therapy;clinic;at;school.;https://www.youtube.com/watch?v=7AvRuvPaumw;se.jpg;;;
8;Game of Thrones;17/04/11;Emilia Clarke, Peter Dinklage, Kit Harington ;Nine noble families fight for control over the mythical lands of Westeros, while an ancient enemy returns after being dormant for thousands of years.;https://www.youtube.com/watch?v=rlR4PJn8b8I;got.jpg;Peter;Dinklage,;Kit;Harington;;Nine;noble;families;fight;for;control;over;the;mythical;lands;of;Westeros,;while;an;ancient;enemy;returns;after;being;dormant;for;thousands;of;years.;https://www.youtube.com/watch?v=rlR4PJn8b8I;got.jpg;;;
9;The Haunting of the Hill House;12/10/18;Henry Thomas, Oliver Jackson-Cohen, Kate Siegel;Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.;https://www.youtube.com/watch?v=Ce0RQq-rjPk;hhh.jpg;12/10/18;Henry;Thomas,;Oliver;Jackson-Cohen,;Kate;Siegel;Flashing;between;past;and;present,;a;fractured;family;confronts;haunting;memories;of;their;old;home;and;the;terrifying;events;that;drove;them;from;it.;https://www.youtube.com/watch?v=Ce0RQq-rjPk;hhh.jpg;
10;Black Mirror;04/12/11;Daniel Lapaine, Hannah John-Kamen, Michaela Coel ;An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.;https://www.youtube.com/watch?v=2bVik34nWws;bm.jpg;John-Kamen,;Michaela;Coel;;An;anthology;series;exploring;a;twisted,;high-tech;multiverse;where;humanity's;greatest;innovations;and;darkest;instincts;collide.;https://www.youtube.com/watch?v=2bVik34nWws;bm.jpg;;;;;;;;;;;;
